,Date,Open,High,Low,Close,Volume,Change
0,2011-06-30,19300,22150,18950,22150,23654090,NaN
1,2011-07-01,23150,25350,22200,22750,15244984,2.71
2,2011-07-04,23350,24250,22450,22850,5131172,0.44
3,2011-07-05,23600,24850,22600,24550,5973505,7.44
4,2011-07-06,25000,25900,24850,25650,4728395,4.48
5,2011-07-07,25400,27750,24650,25400,4893278,-0.97
6,2011-07-08,25800,26500,25500,26100,2572377,2.76
7,2011-07-11,26750,29500,26150,28500,6074895,9.2
8,2011-07-12,28400,29650,28100,29300,4617603,2.81
9,2011-07-13,29300,29350,24950,25250,7288431,-13.82
10,2011-07-14,25600,26400,24400,25600,3905594,1.39
11,2011-07-15,25600,29100,24600,28600,6982000,11.72
12,2011-07-18,29250,30200,28100,29250,4983289,2.27
13,2011-07-19,29550,31300,28800,29300,5327339,0.17
14,2011-07-20,29900,30150,27750,27750,4254431,-5.29
15,2011-07-21,28150,28700,25650,27050,3957895,-2.52
16,2011-07-22,27300,27900,26400,27600,2319166,2.03
17,2011-07-25,27300,27400,25550,25600,2839070,-7.25
18,2011-07-26,25650,26550,25500,26000,1746541,1.56
19,2011-07-27,26350,28200,26100,28000,3384132,7.69
20,2011-07-28,27500,28100,26800,27200,2402390,-2.86
21,2011-07-29,27600,28500,27250,27700,2164490,1.84
22,2011-08-01,28300,28900,27700,28650,2102948,3.43
23,2011-08-02,28650,29100,27700,28200,1651961,-1.57
24,2011-08-03,27400,28800,26900,28750,1671870,1.95
25,2011-08-04,28900,29300,27700,27700,1832463,-3.65
26,2011-08-05,25500,26800,24900,26100,2073472,-5.78
27,2011-08-08,25700,26250,22200,23400,3528884,-10.34
28,2011-08-09,22800,25150,21150,24800,4041577,5.98
29,2011-08-10,26500,26600,25400,26100,2399571,5.24
30,2011-08-11,24900,28250,24850,28200,2892310,8.05
31,2011-08-12,28750,28950,27050,27050,2389125,-4.08
32,2011-08-16,28100,28450,27650,27800,1387805,2.77
33,2011-08-17,28000,30350,28000,30150,4486943,8.45
34,2011-08-18,30500,31100,29650,30600,2983041,1.49
35,2011-08-19,29500,30900,28900,29200,3093164,-4.58
36,2011-08-22,30000,30200,28100,29000,2697705,-0.68
37,2011-08-23,29500,29700,27400,28200,4226039,-2.76
38,2011-08-24,28200,28500,27050,27300,2683695,-3.19
39,2011-08-25,27600,28000,26000,26200,2252448,-4.03
40,2011-08-26,26200,28000,26200,27850,1892535,6.3
41,2011-08-29,28250,29300,27900,29000,2145430,4.13
42,2011-08-30,29300,30000,28600,29400,2583021,1.38
43,2011-08-31,29700,29800,29150,29500,1020934,0.34
44,2011-09-01,29500,29800,28450,28700,1913867,-2.71
45,2011-09-02,28700,32350,28400,31950,6018746,11.32
46,2011-09-05,31500,32550,30900,31550,3011634,-1.25
47,2011-09-06,31000,32950,30100,32650,2819508,3.49
48,2011-09-07,33400,34150,32550,33000,3315812,1.07
49,2011-09-08,33150,34800,32800,33400,2534814,1.21
50,2011-09-09,33300,34000,32850,33450,1261862,0.15
51,2011-09-14,33450,33700,30950,30950,1642095,-7.47
