,Date,Open,High,Low,Close,Volume,Change
0,2013-10-30,33700,38750,33500,38750,16962211,NaN
1,2013-10-31,40450,41150,35600,36450,8952654,-5.94
2,2013-11-01,36450,38250,36100,37350,2685352,2.47
3,2013-11-04,38900,39400,36450,36700,2261819,-1.74
4,2013-11-05,36050,36700,34600,35050,2254062,-4.5
5,2013-11-06,35050,36250,34500,35000,1258031,-0.14
6,2013-11-07,35300,35400,33750,33800,1265278,-3.43
7,2013-11-08,33250,35050,32850,34350,1250427,1.63
8,2013-11-11,34950,35350,34100,34450,650733,0.29
9,2013-11-12,34550,35850,34250,35850,766202,4.06
10,2013-11-13,36050,36050,34000,34200,873530,-4.6
11,2013-11-14,34050,34050,32400,33550,1120559,-1.9
12,2013-11-15,33500,34000,33300,33500,501548,-0.15
13,2013-11-18,33550,34550,33500,34100,621179,1.79
14,2013-11-19,34200,34450,33700,33800,367999,-0.88
15,2013-11-20,33800,34200,33550,33700,349307,-0.3
16,2013-11-21,33700,33800,32650,32750,375291,-2.82
17,2013-11-22,32950,33200,31650,31650,654528,-3.36
18,2013-11-25,31500,32100,31100,31800,513819,0.47
19,2013-11-26,32200,32950,32100,32450,688714,2.04
20,2013-11-27,32100,32300,31600,31700,397652,-2.31
21,2013-11-28,31750,33200,31550,33150,698694,4.57
22,2013-11-29,32250,32900,31450,31950,2366739,-3.62
23,2013-12-02,31850,32150,31550,31600,653579,-1.1
24,2013-12-03,31600,32700,31600,32500,814436,2.85
25,2013-12-04,32400,32600,31850,32550,367975,0.15
26,2013-12-05,32800,33200,32550,33050,579978,1.54
27,2013-12-06,32650,33300,32600,33200,376660,0.45
28,2013-12-09,33400,33450,32650,33100,348969,-0.3
29,2013-12-10,32850,32900,32000,32000,343482,-3.32
30,2013-12-11,31700,32000,31400,31400,400609,-1.88
31,2013-12-12,31000,31600,30950,31350,295035,-0.16
32,2013-12-13,32100,32450,31100,31200,335425,-0.48
33,2013-12-16,31050,31200,29600,29650,732684,-4.97
34,2013-12-17,30000,30000,29150,29200,434318,-1.52
35,2013-12-18,29200,29700,28600,29500,492037,1.03
36,2013-12-19,29850,30150,29300,29900,342326,1.36
37,2013-12-20,29700,30100,29550,30100,239758,0.67
38,2013-12-23,30450,30650,29800,29800,283382,-1.0
39,2013-12-24,29800,29850,29300,29400,317305,-1.34
40,2013-12-26,29450,29600,28600,28650,450991,-2.55
41,2013-12-27,28700,29150,28550,28650,312091,0.0
42,2013-12-30,29000,29200,28750,28800,342769,0.52
43,2014-01-02,29100,30400,29050,30300,804798,5.21
44,2014-01-03,30300,30650,29900,30400,480768,0.33
45,2014-01-06,30200,30400,29650,29850,306619,-1.81
46,2014-01-07,29500,30150,29500,30000,206683,0.5
47,2014-01-08,30050,31000,30050,30750,555590,2.5
48,2014-01-09,30800,31000,30400,30900,349508,0.49
49,2014-01-10,30900,31400,30450,30700,262974,-0.65
50,2014-01-13,30500,30650,30000,30600,152034,-0.33
51,2014-01-14,30100,30750,30000,30150,199070,-1.47
52,2014-01-15,30350,30500,29900,29900,218510,-0.83
53,2014-01-16,30100,30200,29750,29800,193879,-0.33
54,2014-01-17,29800,30000,29400,29400,189277,-1.34
55,2014-01-20,29100,29300,28900,29300,213839,-0.34
56,2014-01-21,29300,30200,29000,30100,313691,2.73
57,2014-01-22,30000,30500,29950,30250,309596,0.5
58,2014-01-23,30250,30450,29350,29400,448259,-2.81
59,2014-01-24,29300,29500,29000,29300,191966,-0.34
60,2014-01-27,28600,28700,28050,28050,517428,-4.27
61,2014-01-28,28050,28100,27150,27400,556062,-2.32
62,2014-01-29,27850,29000,27700,28850,515884,5.29
63,2014-02-03,28400,29100,28350,28750,267617,-0.35
64,2014-02-04,28100,28600,28000,28400,254499,-1.22
65,2014-02-05,28500,29150,28450,28750,294985,1.23
66,2014-02-06,28750,30650,28750,30250,834475,5.22
67,2014-02-07,30300,30650,29900,30400,491895,0.5
68,2014-02-10,30550,30650,30100,30150,243822,-0.82
69,2014-02-11,30250,31350,30150,30350,546123,0.66
70,2014-02-12,30450,30600,29600,30100,364135,-0.82
71,2014-02-13,29850,30100,29700,29950,159970,-0.5
72,2014-02-14,29900,30450,26050,26850,4414473,-10.35
73,2014-02-17,27500,28150,27300,28000,1626329,4.28
74,2014-02-18,28200,28250,27650,28050,393327,0.18
75,2014-02-19,28300,28400,27900,28300,441599,0.89
76,2014-02-20,28200,29000,28000,28600,434383,1.06
77,2014-02-21,28850,29250,28150,28300,505592,-1.05
78,2014-02-24,28400,28600,28000,28400,285832,0.35
79,2014-02-25,28450,29150,28100,29050,596646,2.29
80,2014-02-26,29100,29200,28700,28950,271632,-0.34
81,2014-02-27,28950,29700,28650,29550,417486,2.07
82,2014-02-28,29600,29750,29300,29400,271453,-0.51
83,2014-03-03,29300,29300,28600,29000,358000,-1.36
84,2014-03-04,28650,29250,28550,28750,281593,-0.86
