,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,11543,13253,11543,13041,1645820,12.97
1,2000-01-05,12398,13307,12078,12667,1762180,-2.87
2,2000-01-06,12879,13093,12398,12667,2238910,0.0
3,2000-01-07,12720,14430,12560,14430,4579310,13.92
4,2000-01-10,14643,15284,13788,13896,3911440,-3.7
5,2000-01-11,14215,15231,13628,14644,4900440,5.38
6,2000-01-12,14216,14965,13896,14056,2895330,-4.02
7,2000-01-13,14056,14216,13254,13575,1763790,-3.42
8,2000-01-14,13681,14269,13360,13682,2664300,0.79
9,2000-01-17,13841,14109,13521,13522,1927060,-1.17
10,2000-01-18,13681,14376,13681,13789,2796510,1.97
11,2000-01-19,13521,13574,12612,12667,1717280,-8.14
12,2000-01-20,12559,12826,11757,12827,1655350,1.26
13,2000-01-21,12345,12986,12291,12346,1066590,-3.75
14,2000-01-24,12185,12772,12185,12560,1129440,1.73
15,2000-01-25,12292,12453,12025,12025,753660,-4.26
16,2000-01-26,12024,12238,11383,11865,901310,-1.33
17,2000-01-27,11544,12506,11544,12399,1203000,4.5
18,2000-01-28,12452,12719,12185,12720,1036890,2.59
19,2000-01-31,12345,13521,12345,13308,2038380,4.62
20,2000-02-01,13575,13575,12773,13361,1835840,0.4
21,2000-02-02,13148,14430,13148,14430,3451550,8.0
22,2000-02-03,14323,15178,14216,14430,3299840,0.0
23,2000-02-07,14590,15712,14429,15072,3658920,4.45
24,2000-02-08,15072,15178,14430,14537,1233680,-3.55
25,2000-02-09,14536,14857,13895,13896,1688690,-4.41
26,2000-02-10,13895,14269,13681,13896,1300980,0.0
27,2000-02-11,14056,14216,13041,13254,1663760,-4.62
28,2000-02-14,13253,14162,13040,13308,1451710,0.41
29,2000-02-15,13467,13574,12345,12827,1159370,-3.61
30,2000-02-16,12612,13253,12398,13041,930940,1.67
31,2000-02-17,12291,14964,12291,14965,2193090,14.75
32,2000-02-18,15498,15765,14750,14965,4695900,0.0
33,2000-02-21,14643,14803,13895,13896,1485640,-7.14
34,2000-02-22,13895,14429,13147,13148,1692270,-5.38
35,2000-02-23,13147,14322,13040,13522,2134270,2.84
36,2000-02-24,13361,13629,12987,13254,1262580,-1.98
37,2000-02-25,13253,13414,12879,13148,1064840,-0.8
38,2000-02-28,12933,13734,12772,13148,1294190,0.0
39,2000-02-29,13468,13575,12346,12506,1380800,-4.88
40,2000-03-02,12827,14216,12667,14216,3728750,13.67
41,2000-03-03,13789,14003,13041,13361,1666250,-6.01
42,2000-03-06,13682,14110,13094,13361,3611550,0.0
43,2000-03-07,13361,13522,13041,13468,1414400,0.8
44,2000-03-08,13040,13360,12986,13041,1238280,-3.17
45,2000-03-09,13200,13307,12612,12934,1880050,-0.82
46,2000-03-10,13201,13254,12506,12613,1127930,-2.48
47,2000-03-13,12505,12612,11810,11972,1494630,-5.08
48,2000-03-14,11757,11971,11597,11758,1219110,-1.79
49,2000-03-15,11544,11705,11117,11330,1204980,-3.64
50,2000-03-16,11384,11598,10668,10742,1250320,-5.19
51,2000-03-17,11063,11330,10796,10956,1266730,1.99
52,2000-03-20,11063,11972,10903,11651,1987150,6.34
53,2000-03-21,11705,11705,11063,11063,968670,-5.05
54,2000-03-22,11222,11436,10848,10903,2267970,-1.45
55,2000-03-23,11329,11597,10955,11117,1930270,1.96
56,2000-03-24,11010,11651,11010,11223,1798170,0.95
57,2000-03-27,11705,11972,11330,11651,1751620,3.81
58,2000-03-28,11436,11650,11329,11491,776930,-1.37
59,2000-03-29,11383,11864,11329,11705,1854680,1.86
60,2000-03-30,11651,11705,11223,11223,1058960,-4.12
61,2000-03-31,11223,11544,11117,11437,758160,1.91
62,2000-04-03,11223,11491,10646,10689,620400,-6.54
63,2000-04-04,10688,10902,10271,10315,765020,-3.5
64,2000-04-06,10304,10315,9460,9620,1065710,-6.74
65,2000-04-07,9469,9822,9469,9695,794980,0.78
66,2000-04-10,9726,10303,9534,9941,1249120,2.54
67,2000-04-11,9941,9941,9406,9406,627170,-5.38
68,2000-04-12,9298,9298,8946,9086,1640850,-3.4
69,2000-04-14,8722,8925,8498,8658,932420,-4.71
70,2000-04-17,7481,7898,7364,7365,1848710,-14.93
71,2000-04-18,7707,7910,7365,7856,2141020,6.67
72,2000-04-19,7921,8177,7750,7803,2760980,-0.67
73,2000-04-20,7643,7889,7429,7482,1354870,-4.11
74,2000-04-21,7589,8487,7536,8305,2666730,11.0
75,2000-04-24,8231,8231,7835,7856,946770,-5.41
76,2000-04-25,7782,7963,7696,7696,676640,-2.04
77,2000-04-26,7814,7995,7322,7375,1149860,-4.17
78,2000-04-27,7322,7632,7098,7375,842190,0.0
79,2000-04-28,7226,7514,7226,7386,1141370,0.15
80,2000-05-02,7279,7536,7215,7493,1012480,1.45
81,2000-05-03,7589,7974,7536,7696,1789780,2.71
82,2000-05-04,7802,8123,7599,7921,2361530,2.92
83,2000-05-08,8069,8080,7823,7846,942260,-0.95
84,2000-05-09,7846,7846,7696,7717,604240,-1.64
85,2000-05-10,7589,7675,7546,7546,506900,-2.22
86,2000-05-12,7535,7631,7171,7258,668500,-3.82
87,2000-05-15,7161,7321,6947,6948,521760,-4.27
88,2000-05-16,6862,7055,6424,6552,1157480,-5.7
89,2000-05-17,6562,6712,5750,5879,1937000,-10.27
90,2000-05-18,5878,5974,5365,5612,1005570,-4.54
91,2000-05-19,5568,6038,5461,5986,1286750,6.66
92,2000-05-22,6093,6136,5387,5430,962100,-9.29
