,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,19000,20700,18600,20700,2028370,15.0
1,2000-01-05,21000,22500,19500,20800,4091650,0.48
2,2000-01-06,21300,21700,19100,19700,1899330,-5.29
3,2000-01-07,20900,21100,20000,20300,2206950,3.05
4,2000-01-10,21500,21600,19750,20000,1931830,-1.48
5,2000-01-11,19800,20500,19800,20000,1779040,0.0
6,2000-01-12,20100,20150,19400,19450,1020450,-2.75
7,2000-01-13,19500,19800,19000,19500,1245390,0.26
8,2000-01-14,19500,19600,18500,18500,1720440,-5.13
9,2000-01-17,19050,19050,18300,18500,2114500,0.0
10,2000-01-18,18500,18500,17600,17800,2558780,-3.78
11,2000-01-19,17400,17500,16100,16100,2608430,-9.55
12,2000-01-20,15850,16250,14950,16200,2730990,0.62
13,2000-01-21,15900,17400,15500,16200,2835700,0.0
14,2000-01-24,15800,16800,15800,16000,2175750,-1.23
15,2000-01-25,15700,16150,15500,15500,1751200,-3.12
16,2000-01-26,15500,16100,15300,15950,2038040,2.9
17,2000-01-27,16500,17300,16200,17150,3341490,7.52
18,2000-01-28,17150,17450,16500,16800,2096870,-2.04
19,2000-01-31,16600,17350,16400,17100,1725870,1.79
20,2000-02-01,17500,17700,16700,17000,1815120,-0.58
21,2000-02-02,17000,18750,16700,18300,4041730,7.65
22,2000-02-03,18500,18800,17650,18550,4235540,1.37
23,2000-02-07,18100,18750,18050,18500,2104860,-0.27
24,2000-02-08,18500,19050,18100,18100,2110260,-2.16
25,2000-02-09,18000,18250,16800,17000,2244160,-6.08
26,2000-02-10,16700,17200,16300,16350,3117220,-3.82
27,2000-02-11,16400,16850,15600,15650,2220350,-4.28
28,2000-02-14,15200,15500,14600,14650,1836490,-6.39
29,2000-02-15,14200,14550,13750,13750,2240530,-6.14
30,2000-02-16,14000,14300,13150,14000,2142540,1.82
31,2000-02-17,14400,14900,14000,14500,3180400,3.57
32,2000-02-18,14300,14500,13700,13700,1959000,-5.52
33,2000-02-21,13700,13700,12350,12350,2101280,-9.85
34,2000-02-22,12050,12550,11650,12200,2215070,-1.21
35,2000-02-23,12550,13900,12400,13300,2683040,9.02
36,2000-02-24,13200,13250,12400,12500,1340480,-6.02
37,2000-02-25,12150,13900,11850,12900,2855810,3.2
38,2000-02-28,12100,12500,11800,11850,1612000,-8.14
39,2000-02-29,12300,12650,11850,12050,2117420,1.69
40,2000-03-02,12550,13450,12350,13200,3646270,9.54
41,2000-03-03,13200,13950,12800,13500,3028800,2.27
42,2000-03-06,13900,15500,13550,15500,4842640,14.81
43,2000-03-07,15600,15750,14300,15000,4832740,-3.23
44,2000-03-08,14150,15700,14150,15000,3426360,0.0
45,2000-03-09,15000,15200,14050,14050,2322890,-6.33
46,2000-03-10,14500,14600,13550,13600,2108500,-3.2
47,2000-03-13,13400,13400,12600,12600,2207130,-7.35
48,2000-03-14,12600,13150,12600,12950,1555310,2.78
49,2000-03-15,12500,12850,12300,12700,1080210,-1.93
50,2000-03-16,13100,13700,12700,13200,1753680,3.94
51,2000-03-17,14300,14300,13750,13900,3172140,5.3
52,2000-03-20,13900,14300,13600,14000,1357840,0.72
