,Date,Open,High,Low,Close,Volume,Change
0,2004-04-23,6077,6801,5353,5353,1077464,NaN
1,2004-04-26,5435,5741,5259,5398,261376,0.84
2,2004-04-27,5450,5481,5031,5063,228031,-6.21
3,2004-04-28,5071,5451,4995,5445,139035,7.54
4,2004-04-29,5116,5435,5024,5101,83686,-6.32
5,2004-04-30,4911,5201,4911,4949,81471,-2.98
6,2004-05-03,4774,4986,4683,4683,110075,-5.37
7,2004-05-04,4690,4758,4568,4606,72898,-1.64
8,2004-05-06,4591,4630,4416,4416,76983,-4.13
9,2004-05-07,4341,4410,4226,4226,51327,-4.3
10,2004-05-10,4188,4188,3807,3913,78347,-7.41
11,2004-05-11,3913,4103,3913,4050,45708,3.5
12,2004-05-12,4073,4148,3966,3981,33369,-1.7
13,2004-05-13,3882,3958,3858,3921,65807,-1.51
14,2004-05-14,3959,3959,3746,3758,84208,-4.16
15,2004-05-17,3761,3776,3308,3308,92534,-11.97
16,2004-05-18,3091,3285,3091,3167,44533,-4.26
17,2004-05-19,3173,3543,3173,3544,60492,11.9
18,2004-05-20,3440,3451,3310,3327,25321,-6.12
19,2004-05-21,3334,3494,3334,3370,7953,1.29
20,2004-05-24,3387,3594,3387,3479,32805,3.23
21,2004-05-25,3502,3502,3319,3372,11518,-3.08
22,2004-05-27,3434,3491,3206,3206,40548,-4.92
23,2004-05-28,3319,3369,3122,3129,62320,-2.4
24,2004-05-31,3166,3205,2990,3011,76319,-3.77
25,2004-06-01,3023,3060,2828,2870,151557,-4.68
26,2004-06-02,2819,2972,2819,2931,94126,2.13
27,2004-06-03,2953,2964,2790,2816,187825,-3.92
28,2004-06-04,2817,2843,2717,2757,150466,-2.1
29,2004-06-07,2762,2918,2755,2889,212163,4.79
30,2004-06-08,2940,2947,2802,2802,182599,-3.01
31,2004-06-09,2822,2841,2795,2802,92233,0.0
32,2004-06-10,2801,2874,2797,2821,69817,0.68
33,2004-06-11,2801,2928,2801,2821,170640,0.0
34,2004-06-14,2824,2892,2778,2843,95482,0.78
35,2004-06-15,2886,2891,2810,2829,77418,-0.49
36,2004-06-16,2779,2847,2779,2805,69751,-0.85
37,2004-06-17,2799,2799,2762,2771,29069,-1.21
38,2004-06-18,2767,2771,2671,2703,40394,-2.45
39,2004-06-21,2651,2658,2563,2589,77531,-4.22
40,2004-06-22,2503,2526,2434,2448,50679,-5.45
41,2004-06-23,2451,2470,2424,2429,26960,-0.78
42,2004-06-24,2435,2496,2435,2444,25351,0.62
43,2004-06-25,2474,2504,2474,2475,43452,1.27
44,2004-06-28,2463,2581,2463,2535,39174,2.42
45,2004-06-29,2558,2558,2517,2547,9975,0.47
46,2004-06-30,2593,2593,2532,2547,24858,0.0
47,2004-07-01,2556,2603,2550,2603,34949,2.2
48,2004-07-02,2574,2635,2559,2589,29545,-0.54
49,2004-07-05,2595,2625,2587,2619,23511,1.16
50,2004-07-06,2604,2726,2604,2642,26108,0.88
51,2004-07-07,2640,2930,2595,2931,87447,10.94
52,2004-07-08,2886,2986,2681,2787,53541,-4.91
53,2004-07-09,2778,2778,2718,2721,27856,-2.37
54,2004-07-12,2711,2741,2669,2669,20440,-1.91
55,2004-07-13,2672,2715,2665,2669,23203,0.0
56,2004-07-14,2664,2698,2652,2692,31686,0.86
57,2004-07-15,2664,2718,2596,2679,18051,-0.48
58,2004-07-16,2663,2701,2645,2699,17073,0.75
59,2004-07-19,2678,2751,2678,2741,22070,1.56
60,2004-07-20,2714,2763,2714,2718,14030,-0.84
61,2004-07-21,2763,2801,2721,2721,19439,0.11
62,2004-07-22,2719,2719,2609,2665,22720,-2.06
63,2004-07-23,2663,2720,2663,2672,6744,0.26
64,2004-07-26,2678,2687,2626,2676,10660,0.15
65,2004-07-27,2702,2800,2702,2741,47490,2.43
66,2004-07-28,2886,2886,2760,2760,30079,0.69
67,2004-07-29,2794,2794,2726,2733,18445,-0.98
68,2004-07-30,2695,2737,2695,2733,13690,0.0
69,2004-08-02,2690,2740,2672,2676,11522,-2.09
70,2004-08-03,2688,2704,2665,2665,23659,-0.41
71,2004-08-04,2672,2694,2641,2676,22228,0.41
72,2004-08-05,2664,2786,2664,2741,12984,2.43
73,2004-08-06,2731,2815,2708,2771,12849,1.09
74,2004-08-09,2762,2816,2747,2794,6971,0.83
75,2004-08-10,2795,2795,2711,2737,10851,-2.04
76,2004-08-11,2748,3000,2745,2764,46949,0.99
