,Date,Open,High,Low,Close,Volume,Change
0,2021-01-25,53314,53314,41049,43903,1321544,NaN
1,2021-01-26,44203,44653,40548,40549,418885,-7.64
2,2021-01-27,41199,41850,38446,38897,189353,-4.07
3,2021-01-28,37345,40148,36844,37996,177923,-2.32
4,2021-01-29,38246,39547,35042,36194,159569,-4.74
5,2021-02-01,35793,38096,35743,37996,109048,4.98
6,2021-02-02,38196,39547,38146,38496,122670,1.32
7,2021-02-03,38997,39547,38296,39097,117200,1.56
8,2021-02-04,39748,40148,38546,38947,111897,-0.38
9,2021-02-05,38396,38896,37845,38346,36666,-1.54
10,2021-02-08,38746,38796,38045,38647,28933,0.78
11,2021-02-09,38646,38947,37845,37846,25473,-2.07
12,2021-02-10,38045,38045,35793,37395,42878,-1.19
13,2021-02-15,37395,37395,36744,36895,28390,-1.34
14,2021-02-16,37244,37395,36744,36895,23462,0.0
15,2021-02-17,37194,37194,36444,36644,20148,-0.68
16,2021-02-18,36293,37044,36243,36494,36494,-0.41
17,2021-02-19,36494,36594,35943,36594,24117,0.27
18,2021-02-22,36994,37144,36043,36394,21288,-0.55
19,2021-02-23,36043,36343,35943,35993,18540,-1.1
20,2021-02-24,36343,36343,34792,34942,44149,-2.92
21,2021-02-25,35843,38196,35042,37595,85626,7.59
22,2021-02-26,35693,36093,34691,35443,119486,-5.72
23,2021-03-02,36494,36544,34391,34692,102160,-2.12
24,2021-03-03,34892,35542,34141,34692,56514,0.0
25,2021-03-04,34591,35492,34341,34442,52091,-0.72
26,2021-03-05,34191,34541,33840,34141,28412,-0.87
27,2021-03-08,34541,34792,33940,34191,29113,0.15
28,2021-03-09,34391,34942,33940,34742,24514,1.61
29,2021-03-10,35292,35292,34291,34692,16644,-0.14
30,2021-03-11,34541,35042,34541,34892,19654,0.58
31,2021-03-12,35142,35492,34842,35443,25641,1.58
32,2021-03-15,35643,37144,35643,36945,71969,4.24
33,2021-03-16,37094,37745,36844,36945,41945,0.0
34,2021-03-17,36944,37194,36293,36995,19460,0.14
35,2021-03-18,37044,37445,36594,36794,20761,-0.54
36,2021-03-19,35993,38146,35893,36895,17788,0.27
37,2021-03-22,36944,37395,36393,36895,18280,0.0
38,2021-03-23,36694,37395,36444,36945,37067,0.14
39,2021-03-24,36794,37094,36343,36945,29610,0.0
40,2021-03-25,37395,37395,36694,36945,22379,0.0
41,2021-03-26,37345,37345,36844,37195,22810,0.68
42,2021-03-29,37495,37945,36794,37095,29988,-0.27
43,2021-03-30,37094,37495,36744,36945,21939,-0.4
44,2021-03-31,36894,37295,36644,36845,12179,-0.27
45,2021-04-01,36644,37044,36494,36744,17245,-0.27
