,Date,Open,High,Low,Close,Volume,Change
0,2015-11-04,65100,71600,62500,62500,3598541,NaN
1,2015-11-05,63200,68500,62100,68300,1520162,9.28
2,2015-11-06,67300,69300,65200,65900,830036,-3.51
3,2015-11-09,66200,66300,57300,58200,870118,-11.68
4,2015-11-10,56500,59900,54400,57400,655496,-1.37
5,2015-11-11,56800,58800,56600,57500,300120,0.17
6,2015-11-12,57500,58500,55800,55900,267635,-2.78
7,2015-11-13,56500,59300,55600,59100,234810,5.72
8,2015-11-16,58000,58900,56800,57300,140179,-3.05
9,2015-11-17,58300,59000,56600,57300,144311,0.0
10,2015-11-18,57200,57200,51500,52600,557250,-8.2
11,2015-11-19,53800,53800,49050,51600,604377,-1.9
12,2015-11-20,52600,54200,51600,53000,227327,2.71
13,2015-11-23,53900,55000,52400,54100,165312,2.08
14,2015-11-24,54300,54300,52600,52700,163966,-2.59
15,2015-11-25,52700,53800,51400,51600,128896,-2.09
16,2015-11-26,53500,55200,52200,52200,283518,1.16
17,2015-11-27,52800,53400,52200,52300,100711,0.19
18,2015-11-30,51900,52100,50500,50600,128900,-3.25
19,2015-12-01,51000,52500,50600,51500,111550,1.78
20,2015-12-02,51900,52300,50800,51300,69773,-0.39
21,2015-12-03,52000,53700,51600,53100,151741,3.51
22,2015-12-04,52000,52800,51800,51900,131150,-2.26
23,2015-12-07,52400,52400,50000,50600,149767,-2.5
24,2015-12-08,50200,51000,46500,46900,476880,-7.31
25,2015-12-09,46200,46600,44600,46200,199066,-1.49
26,2015-12-10,46350,48100,46300,47450,153895,2.71
27,2015-12-11,48300,49750,47600,49500,195600,4.32
28,2015-12-14,48500,50300,48350,49150,186237,-0.71
29,2015-12-15,49200,50300,48650,49700,109255,1.12
30,2015-12-16,50200,51000,49800,50400,107678,1.41
31,2015-12-17,50700,50800,48950,49050,119834,-2.68
32,2015-12-18,49000,49400,48150,48800,101370,-0.51
33,2015-12-21,48500,48950,48100,48900,119281,0.2
34,2015-12-22,49200,49250,47900,48000,69512,-1.84
35,2015-12-23,48050,49100,47450,47850,98236,-0.31
36,2015-12-24,47900,48550,46650,46950,104672,-1.88
37,2015-12-28,46450,47650,45850,47600,124664,1.38
38,2015-12-29,48000,50200,47250,50000,224843,5.04
39,2015-12-30,49850,52400,49350,50700,233246,1.4
40,2016-01-04,51200,52900,49200,49200,200198,-2.96
41,2016-01-05,48600,51100,48500,50200,106867,2.03
42,2016-01-06,51000,54700,50300,54700,392272,8.96
43,2016-01-07,55000,57500,54100,54500,414988,-0.37
44,2016-01-08,52900,55000,52800,53900,211849,-1.1
45,2016-01-11,53800,54800,52900,53700,154232,-0.37
46,2016-01-12,54100,54400,51100,51300,166828,-4.47
47,2016-01-13,52100,52700,51300,51900,118864,1.17
48,2016-01-14,50600,51500,48250,49200,302632,-5.2
49,2016-01-15,48500,48700,40250,41600,1345468,-15.45
50,2016-01-18,41950,43500,41250,42700,331141,2.64
51,2016-01-19,42250,43150,40750,41050,214540,-3.86
52,2016-01-20,41100,42500,40300,42150,209335,2.68
53,2016-01-21,41700,41950,39450,39550,336141,-6.17
54,2016-01-22,40000,42000,39050,40000,290597,1.14
55,2016-01-25,41200,41750,40250,41300,130921,3.25
56,2016-01-26,41500,43550,41150,43000,195790,4.12
57,2016-01-27,43600,43800,41900,43100,228590,0.23
58,2016-01-28,41750,42350,39600,40000,658038,-7.19
59,2016-01-29,40450,40500,39400,39400,221206,-1.5
60,2016-02-01,39850,40250,38350,39100,221977,-0.76
61,2016-02-02,38900,39600,38650,38900,91777,-0.51
62,2016-02-03,38800,38850,37300,38300,191979,-1.54
63,2016-02-04,37650,37900,36350,36950,422099,-3.52
64,2016-02-05,37150,38500,37050,38250,164139,3.52
65,2016-02-11,37400,37950,36450,36800,152621,-3.79
66,2016-02-12,36300,36700,32050,32850,425421,-10.73
67,2016-02-15,33450,33850,32550,33150,273142,0.91
68,2016-02-16,33450,35100,33450,34700,249588,4.68
69,2016-02-17,35000,35300,33300,33550,232011,-3.31
70,2016-02-18,34000,36700,34000,36500,274153,8.79
71,2016-02-19,36000,36550,35400,35750,131474,-2.05
72,2016-02-22,35900,36450,35700,36200,117427,1.26
73,2016-02-23,36400,36450,34100,34250,295224,-5.39
74,2016-02-24,34050,35300,34050,35300,126528,3.07
75,2016-02-25,35500,35950,35350,35350,129896,0.14
76,2016-02-26,36000,36000,34900,35200,84847,-0.42
77,2016-02-29,35100,35350,34700,35300,101090,0.28
78,2016-03-02,35650,36750,35450,36650,149502,3.82
79,2016-03-03,36650,37500,36000,37300,117090,1.77
80,2016-03-04,37500,38200,36800,37500,139617,0.54
81,2016-03-07,37900,38650,37450,38150,126864,1.73
82,2016-03-08,38500,38750,36900,38050,169104,-0.26
83,2016-03-09,38450,38500,37400,37600,86095,-1.18
84,2016-03-10,37900,38650,37400,38400,116486,2.13
85,2016-03-11,38500,38600,37700,37700,82432,-1.82
86,2016-03-14,38000,39700,38000,38950,212642,3.32
87,2016-03-15,38950,39800,38400,39600,144349,1.67
88,2016-03-16,39600,40350,39050,39050,114644,-1.39
89,2016-03-17,39400,39400,38400,38600,74046,-1.15
90,2016-03-18,39000,39350,38700,39000,92440,1.04
91,2016-03-21,39400,39450,38300,38400,74047,-1.54
92,2016-03-22,38400,38850,38150,38750,57373,0.91
93,2016-03-23,38900,38900,38400,38500,73454,-0.65
94,2016-03-24,38500,40100,38300,39150,169118,1.69
95,2016-03-25,39400,39450,38800,39050,57484,-0.26
96,2016-03-28,39150,39200,36950,36950,166337,-5.38
97,2016-03-29,36900,37250,35550,35800,202461,-3.11
98,2016-03-30,36150,36850,35500,35600,136081,-0.56
99,2016-03-31,35900,36050,34650,34900,149188,-1.97
100,2016-04-01,35100,36250,34800,35950,115675,3.01
101,2016-04-04,36000,36250,35600,36000,78809,0.14
102,2016-04-05,36050,36250,35600,35650,54797,-0.97
103,2016-04-06,35600,36350,35500,36050,61874,1.12
104,2016-04-07,36000,36650,35850,36000,67752,-0.14
105,2016-04-08,36050,36050,35200,35400,66639,-1.67
106,2016-04-11,35500,35500,34950,35000,73345,-1.13
107,2016-04-12,35050,35550,34950,35000,69818,0.0
108,2016-04-14,35000,35300,34000,34100,154837,-2.57
109,2016-04-15,34000,34400,33900,34350,70734,0.73
110,2016-04-18,34150,34450,33900,34000,81967,-1.02
111,2016-04-19,33850,35150,33800,34850,101781,2.5
112,2016-04-20,35100,35250,34650,34900,58594,0.14
113,2016-04-21,35250,35250,34600,34800,66376,-0.29
114,2016-04-22,34700,35000,34700,34800,59325,0.0
115,2016-04-25,34850,37800,34850,37600,358340,8.05
116,2016-04-26,38000,38050,36750,37600,154225,0.0
117,2016-04-27,37300,38300,36650,36800,150333,-2.13
118,2016-04-28,37100,37350,36450,36450,73150,-0.95
119,2016-04-29,36400,36450,35350,36350,104558,-0.27
120,2016-05-02,36350,36350,34950,35150,108917,-3.3
121,2016-05-03,35150,35800,34650,35750,92374,1.71
122,2016-05-04,35750,36850,35300,35300,155470,-1.26
123,2016-05-09,35800,36400,35350,35600,102050,0.85
124,2016-05-10,35350,36450,35100,36250,117542,1.83
125,2016-05-11,36700,38900,36700,38500,451518,6.21
126,2016-05-12,38900,39700,38200,39350,252015,2.21
127,2016-05-13,39350,39500,38450,38650,133303,-1.78
128,2016-05-16,38500,40250,38500,39900,211263,3.23
129,2016-05-17,40150,40350,38900,40000,137195,0.25
130,2016-05-18,40000,40000,38550,38550,117773,-3.63
131,2016-05-19,38500,38800,37450,38050,106683,-1.3
132,2016-05-20,38100,39350,38100,39300,82685,3.29
133,2016-05-23,39600,40250,39350,39500,117669,0.51
134,2016-05-24,39700,39850,38200,38800,100825,-1.77
135,2016-05-25,39050,39200,38050,38200,82802,-1.55
