일자,시가,고가,저가,종가,거래량,거래대금,수정주가구분,수정비율
2024-03-13,7310,7470,7310,7470,1062,8,,
2024-03-12,7360,7440,7360,7410,171,1,,
2024-03-11,7460,7460,7360,7450,138,1,,
2024-03-08,7300,7480,7300,7460,312,2,,
2024-03-07,7400,7400,7390,7390,105,1,,
2024-03-06,7500,7500,7400,7400,801,6,,
2024-03-05,7590,7610,7510,7510,2163,16,,
2024-03-04,7480,7630,7480,7620,777,6,,
2024-02-29,7410,7500,7410,7480,1183,9,,
2024-02-28,7430,7540,7430,7540,18,0,,
2024-02-27,7640,7640,7410,7540,328,2,,
2024-02-26,7600,7680,7550,7550,1605,12,,
2024-02-23,7650,7700,7560,7700,1094,8,,
2024-02-22,7770,7770,7650,7680,567,4,,
2024-02-21,7570,7630,7480,7630,169,1,,
2024-02-20,7770,7770,7370,7570,4586,34,,
2024-02-19,7770,7770,7460,7680,116,1,,
2024-02-16,7560,7680,7500,7560,150,1,,
2024-02-15,7480,7580,7470,7480,1805,14,,
2024-02-14,7570,7780,7470,7480,4409,34,,
2024-02-13,7550,7580,7440,7440,390,3,,
2024-02-08,7370,7550,7370,7550,501,4,,
2024-02-07,7520,7570,7400,7470,597,4,,
2024-02-06,7450,7540,7350,7530,155,1,,
2024-02-05,7450,7550,7450,7550,356,3,,
2024-02-02,7660,7660,7350,7500,1645,12,,
2024-02-01,7130,7650,7130,7560,2044,15,,
2024-01-31,7190,7190,7130,7190,585,4,,
2024-01-30,7240,7240,7140,7140,960,7,,
2024-01-29,7250,7250,7150,7150,1845,13,,
2024-01-26,7240,7250,7150,7250,263,2,,
2024-01-25,7250,7250,7110,7240,524,4,,
2024-01-24,7270,7270,7160,7180,227,2,,
2024-01-23,7180,7220,7170,7190,562,4,,
2024-01-22,7490,7490,7200,7200,1106,8,,
2024-01-19,7340,7480,7340,7360,590,4,,
2024-01-18,7410,7410,7380,7380,567,4,,
2024-01-17,7440,7440,7410,7420,783,6,,
2024-01-16,7620,7620,7470,7470,598,4,,
2024-01-15,7510,7510,7420,7500,955,7,,
2024-01-12,7640,7640,7420,7510,2283,17,,
2024-01-11,7600,7630,7550,7620,1067,8,,
2024-01-10,7620,7660,7550,7590,549,4,,
2024-01-09,7650,7650,7580,7620,522,4,,
2024-01-08,7700,7700,7550,7630,908,7,,
2024-01-05,7800,7800,7700,7700,1475,11,,
2024-01-04,7700,7720,7640,7710,511,4,,
2024-01-03,7740,7750,7700,7700,938,7,,
2024-01-02,7750,7750,7640,7730,3051,23,,
2023-12-28,7980,7980,7690,7860,7688,60,,
2023-12-27,8000,8010,7740,7950,2478,20,4,0.00
2023-12-26,7970,7970,7840,7960,2184,17,,
2023-12-22,7880,7980,7840,7840,8066,64,,
2023-12-21,8430,8430,7700,7850,59293,462,,
2023-12-20,8350,8600,7740,8270,26313,217,,
2023-12-19,9030,9030,8500,8600,10068,88,,
2023-12-18,9250,9250,8900,9140,1195,11,,
2023-12-15,9120,9730,9010,9160,35226,320,,
2023-12-14,9830,9930,9190,9260,9586,91,,
2023-12-13,9500,11450,9340,9490,102746,1056,,
2023-12-12,9950,9950,9550,9560,3298,32,,
2023-12-11,9960,9960,9600,9950,8255,81,,
2023-12-08,9850,9850,9510,9620,4160,40,,
2023-12-07,10210,10290,9510,9820,19057,191,,
2023-12-06,9370,10300,9040,9790,28560,274,,
2023-12-05,9660,9660,8720,9370,20268,186,,
2023-12-04,8900,10900,8800,9660,214378,2190,,
2023-12-01,8650,9350,8600,9000,20108,183,,
2023-11-30,8410,8630,8390,8620,4091,35,,
2023-11-29,8580,8580,8380,8530,1059,9,,
2023-11-28,8500,8700,8240,8520,7733,65,,
2023-11-27,8340,9580,8320,8410,48404,437,,
2023-11-24,8210,8320,8200,8290,239,2,,
2023-11-23,8210,8320,8200,8280,346,3,,
2023-11-22,8270,8350,8190,8290,225,2,,
2023-11-21,8320,8320,8160,8280,243,2,,
2023-11-20,8200,8280,8000,8280,651,5,,
2023-11-17,8120,8320,8090,8320,19,0,,
2023-11-16,8170,8170,7910,8110,238,2,,
2023-11-15,8200,8200,8180,8180,13,0,,
2023-11-14,8060,8130,8060,8130,160,1,,
2023-11-13,8220,8220,8050,8050,382,3,,
2023-11-10,8020,8030,7980,8030,33,0,,
2023-11-09,8020,8020,7960,8020,19,0,,
2023-11-08,8020,8020,7960,7970,221,2,,
2023-11-07,8170,8170,7980,8050,360,3,,
2023-11-06,7800,8290,7800,8050,2202,18,,
2023-11-03,7950,7950,7600,7710,861,7,,
2023-11-02,7560,7900,7550,7850,352,3,,
2023-11-01,7500,7550,7460,7480,184,1,,
2023-10-31,7500,7500,7420,7420,246,2,,
2023-10-30,7500,7500,7440,7500,1668,13,,
2023-10-27,7620,7650,7540,7650,159,1,,
2023-10-26,7530,7610,7530,7590,386,3,,
2023-10-25,7770,7770,7330,7610,965,7,,
2023-10-24,7820,7820,7610,7770,516,4,,
2023-10-23,7850,7850,7560,7780,236,2,,
2023-10-20,8000,8000,7610,7860,217,2,,
2023-10-19,8030,8030,7870,8000,13,0,,
2023-10-18,8010,8030,8010,8010,19,0,,
2023-10-17,8020,8040,7910,8010,379,3,,
2023-10-16,8020,8040,7870,8040,21,0,,
2023-10-13,7890,8030,7890,8030,60,0,,
2023-10-12,7920,8040,7910,8030,270,2,,
2023-10-11,8020,8030,7780,8020,601,5,,
2023-10-10,7940,8000,7900,8000,66,1,,
2023-10-06,7910,7940,7820,7930,772,6,,
2023-10-05,7950,8180,7860,7890,2426,19,,
2023-10-04,8090,8090,7850,7950,2644,21,,
2023-09-27,8710,8820,7910,8030,33194,269,,
2023-09-26,8800,8820,8680,8820,417,4,,
2023-09-25,9010,9010,8760,8880,810,7,,
2023-09-22,8940,9010,8660,9010,916,8,,
2023-09-21,8840,8980,8810,8960,889,8,,
2023-09-20,9100,9100,8870,8980,1871,17,,
2023-09-19,9180,9200,9040,9100,67,1,,
2023-09-18,9150,9150,9000,9140,138,1,,
2023-09-15,8900,9160,8890,9150,1725,16,,
2023-09-14,8910,9070,8860,8880,1125,10,,
2023-09-13,8910,9050,8890,9040,1592,14,,
2023-09-12,9020,9020,8860,9010,108,1,,
2023-09-11,8970,9030,8840,9020,1944,17,,
2023-09-08,9000,9090,8820,8990,599,5,,
2023-09-07,9050,9060,9000,9060,37,0,,
2023-09-06,9040,9100,8900,9060,651,6,,
2023-09-05,9100,9100,8880,9050,646,6,,
2023-09-04,9030,9120,9000,9040,204,2,,
2023-09-01,9100,9110,9000,9110,238,2,,
2023-08-31,9040,9100,9020,9080,119,1,,
2023-08-30,9080,9120,9030,9030,141,1,,
2023-08-29,9020,9120,9010,9100,86,1,,
2023-08-28,9140,9140,9000,9120,116,1,,
2023-08-25,9000,9020,9000,9020,716,6,,
2023-08-24,9140,9140,8830,9020,690,6,,
2023-08-23,8960,9050,8900,9050,66,1,,
2023-08-22,9010,9100,9000,9050,82,1,,
2023-08-21,9140,9140,9000,9120,72,1,,
2023-08-18,9000,9130,9000,9110,67,1,,
2023-08-17,8940,9030,8920,9020,178,2,,
